epochs,learning_rate,is_regularized,quantile,best_loss
3,1e-05,True,0.5,0.3124931854248047
3,1e-05,True,0.7,0.31741033935546875
3,1e-05,True,0.8,0.2981163269042969
3,1e-05,True,0.9,0.3172312530517578
3,1e-05,True,0.95,0.2960539855957031
3,1e-05,True,0.99,0.2778279968261719
3,1e-05,True,1.0,0.32069764099121095
3,1e-05,False,0.5,0.3084640197753906
3,1e-05,False,0.7,0.2905970977783203
3,1e-05,False,0.8,0.30354156494140627
3,1e-05,False,0.9,0.3097177947998047
3,1e-05,False,0.95,0.3005201019287109
3,1e-05,False,0.99,0.3201880554199219
3,1e-05,True,0.5,0.31534986267089843
3,1e-05,True,0.5,0.33531690368652345
3,1e-05,True,0.5,0.3200210998535156
3,1e-05,True,0.5,0.3086179382324219
3,1e-05,True,0.5,0.32873480529785154
3,1e-05,True,0.7,0.3059134796142578
3,1e-05,True,0.7,0.3329276062011719
3,1e-05,True,0.7,0.3086632293701172
3,1e-05,True,0.5,0.30294467163085936
3,1e-05,True,0.5,0.3034463195800781
3,1e-05,True,0.5,0.3149161865234375
3,1e-05,True,0.5,0.3354096160888672
3,1e-05,True,0.5,0.32045755920410157
3,1e-05,True,0.7,0.34242576904296873
3,1e-05,True,0.7,0.30483124389648436
3,1e-05,True,0.7,0.2872253173828125
3,1e-05,True,0.7,0.3232782501220703
3,1e-05,True,0.7,0.35103181457519533
3,1e-05,True,0.8,0.2890412353515625
3,1e-05,True,0.8,0.3081535675048828
3,1e-05,True,0.8,0.31440326232910154
3,1e-05,True,0.8,0.31218416442871094
3,1e-05,True,0.8,0.2975165985107422
3,1e-05,True,0.9,0.2905847808837891
3,1e-05,True,0.9,0.28700008544921873
3,1e-05,True,0.9,0.31224417114257813
3,1e-05,True,0.9,0.30961717224121094
3,1e-05,True,0.9,0.31881016540527346
3,1e-05,True,0.95,0.29576304931640623
3,1e-05,True,0.95,0.31190874328613283
3,1e-05,True,0.95,0.31140885620117187
3,1e-05,True,0.95,0.3098732894897461
3,1e-05,True,0.95,0.3073523040771484
3,1e-05,True,0.99,0.3170031707763672
3,1e-05,True,0.99,0.2817372039794922
